Security Code,Issuer Name,Security Id,Tickers
519105,AVT Natural Products Ltd.,AVTNPL,519105.BO
519126,Hindustan Foods Ltd.,HNDFDS,519126.BO
519136,Nahar Industrial Enterprises Ltd,NAHARINDUS,519136.BO
519152,Vadilal Enterprises Ltd.,VADILENT,519152.BO
519156,Vadilal Industries Ltd.,VADILALIND,519156.BO
519174,Ashiana Agro Industries Ltd,ASHAI,519174.BO
519183,ADF Foods Limited.,ADFFOODS,519183.BO
519191,Retro Green Revolution Limited,RGRL,519191.BO
519214,Williamson Financial Services ltd.,WILLIMFI,519214.BO
519216,Ajanta Soya Limited,AJANTSOY,519216.BO
519224,William Magor & Company Limited,WILLAMAGOR,519224.BO
519230,KISAAN PARIVAR INDUSTRIES LIMITED,KISAAN,519230.BO
519234,Superior Industrial Enterprises Limited,SIEL,519234.BO
519238,Saptarishi Agro Industries Ltd,SPTRSHI,519238.BO
519260,SANWARIA CONSUMER LIMITED,SANWARIA,519260.BO
519262,Prima Agro Ltd.,PRIMAGR,519262.BO
519279,Madhur Industries Limited,MADHURIND,519279.BO
519285,Tarai Foods Ltd.,TARAI,519285.BO
519287,Modern Dairies Ltd.,MODAIRY,519287.BO
519295,Bambino Agro Industries Ltd,BAMBINO,519295.BO
519299,Prime Industries Ltd.,PRIMIND,519299.BO
519307,Vikas WSP Ltd.,VIKASWSP,519307.BO
519331,VSF Projects Limited,VSFPROJ,519331.BO
519353,Bansisons Tea Industries Ltd.,BANSTEA,519353.BO
519359,Poona Dal And Oil Industries Ltd.,POONADAL,519359.BO
519367,Transglobe Foods Ltd.,TRANSFD,519367.BO
519383,Anik Industries Limited,ANIKINDS,519383.BO
519397,Sharat Industries Ltd.,SHINDL,519397.BO
519413,DATIWARE MARITIME INFRA LIMITED,DATIWARE,519413.BO
519415,KMG Milk Food Limited,KMGMILK,519415.BO
519421,KSE Ltd.,KSE,519421.BO
519439,Pioneer Agro Extracts ltd.,PIONAGR,519439.BO
519455,Narbada Gems and Jewellery Limited,NARBADA,519455.BO
519457,Virat Crane Industries Ltd,VIRATCRA,519457.BO
519463,IB Infotech Enterprises Ltd,IBINFO,519463.BO
519471,Ambar Protein Industries Limited,AMBARPIL,519471.BO
519475,Chordia Food Products Ltd,CHORDIA,519475.BO
519477,CIAN Agro Industries & Infrastructure Limited,CIANAGRO,519477.BO
519483,Tai Industries Ltd.,TAIIND,519483.BO
519494,N.K.Industries Ltd.,NKIND,519494.BO
519500,BKV Industries Ltd.,BKV,519500.BO
519506,NCC Bluewater Products Ltd.,NCCBLUE,519506.BO
519528,Norben Tea & Exports Ltd,NORBTEAEXP,519528.BO
519532,Asian Tea & Exports Ltd.,ASIANTNE,519532.BO
519552,Heritage Foods Limited,HERITGFOOD,519552.BO
519566,Simran Farms Ltd.,SIMRAN,519566.BO
519574,Hindustan Agrigenetics Ltd.,HINDUST,519574.BO
519600,CCL Products (India) Ltd.,CCL,519600.BO
519602,Kellton Tech Solutions Ltd.,KELLTONTEC,519602.BO
519604,Suryo Foods & Industries Ltd.,SURFI,519604.BO
519606,Integrated Proteins Ltd.,INTEGFD,519606.BO
519612,Mahaan Foods Ltd.,MAHAANF,519612.BO
520008,RICO Auto Industries Ltd.,RICOAUTO,520008.BO
520021,Omax Autos Ltd.,OMAXAUTO,520021.BO
520043,Munjal Showa Ltd.,MUNJALSHOW,520043.BO
520051,Jamna Auto Industries Ltd.,JAMNAAUTO,520051.BO
520056,TVS Holdings Limited,TVSHLTD,520056.BO
520057,JTEKT India Limited,JTEKTINDIA,520057.BO
520059,Munjal Auto Industries Ltd.,MUNJALAU,520059.BO
520066,Jay Bharat Maruti Ltd.,JAYBARMARU,520066.BO
520073,RACL Geartech Limited,RACLGEAR,520073.BO
520075,Samkrg Pistons and Rings Ltd.,SAMKRG,520075.BO
520081,East Coast Steel Ltd,ECSTSTL,520081.BO
520086,Sical Logistics Limited,SICALLOG,520086.BO
520111,Ratnamani Metals & Tubes Ltd,RATNAMANI,520111.BO
520113,Vesuvius India Ltd.,VESUVIUS,520113.BO
